GLOBALEVENTID;SQLDATE;MonthYear;Year;FractionDate;Actor1Code;Actor1Name;Actor1CountryCode;Actor1KnownGroupCode;Actor1EthnicCode;Actor1Religion1Code;Actor1Religion2Code;Actor1Type1Code;Actor1Type2Code;Actor1Type3Code;Actor2Code;Actor2Name;Actor2CountryCode;Actor2KnownGroupCode;Actor2EthnicCode;Actor2Religion1Code;Actor2Religion2Code;Actor2Type1Code;Actor2Type2Code;Actor2Type3Code;IsRootEvent;EventCode;EventBaseCode;EventRootCode;QuadClass;GoldsteinScale;NumMentions;NumSources;NumArticles;AvgTone;Actor1Geo_Type;Actor1Geo_FullName;Actor1Geo_CountryCode;Actor1Geo_ADM1Code;;Actor1Geo_Lat;Actor1Geo_Long;Actor1Geo_FeatureID;Actor2Geo_Type;Actor2Geo_FullName;Actor2Geo_CountryCode;;Actor2Geo_ADM1Code;Actor2Geo_Lat;Actor2Geo_Long;Actor2Geo_FeatureID;ActionGeo_Type;ActionGeo_FullName;ActionGeo_CountryCode;ActionGeo_ADM1Code;;ActionGeo_Lat;ActionGeo_Long;ActionGeo_FeatureID;DATEADDED;SOURCEURL
817930293;20180121;201801;2018;2018.0575;BGD;PATUAKHALI;BGD;;;;;;;;EDU;SCHOOL;;;;;;EDU;;;1;12;12;1;1;-0.4;10;1;10;-0.522648084;0;;;;;;;;0;;;;;;;;0;;;;;;;;2.02E+13;https://www.thedailystar.net/country/news/32-schools-run-few-students-1690882
817930294;20180121;201801;2018;2018.0575;BUS;BUSINESS;;;;;;BUS;;;;;;;;;;;;;0;10;10;1;1;0;8;1;8;-0.758725341;3;Manhattan, New York, United States;US;USNY;NY061;40.7834;-73.9662;971945;0;;;;;;;;3;Manhattan, New York, United States;US;USNY;NY061;40.7834;-73.9662;971945;2.02E+13;https://libn.com/2019/01/21/rosenberg-the-news-from-the-kitchen-table-is-unsettling/
817930295;20180121;201801;2018;2018.0575;BUS;BUSINESS;;;;;;BUS;;;USA;UNITED STATES;USA;;;;;;;;0;10;10;1;1;0;2;1;2;-0.758725341;3;Manhattan, New York, United States;US;USNY;NY061;40.7834;-73.9662;971945;3;Manhattan, New York, United States;US;USNY;NY061;40.7834;-73.9662;971945;3;Manhattan, New York, United States;US;USNY;NY061;40.7834;-73.9662;971945;2.02E+13;https://libn.com/2019/01/21/rosenberg-the-news-from-the-kitchen-table-is-unsettling/
817930296;20180121;201801;2018;2018.0575;COP;POLICE;;;;;;COP;;;;;;;;;;;;;1;145;145;14;3;-7.5;5;1;5;-6.097560976;4;Bulandshahr, Uttar Pradesh, India;IN;IN36;17901;28.4;77.85;-2092394;0;;;;;;;;4;Bulandshahr, Uttar Pradesh, India;IN;IN36;17901;28.4;77.85;-2092394;2.02E+13;https://www.nyoooz.com/news/noida/1307887/four-take-away-three-dozen-clothes-at-gunpoint-nabbed/
817930297;20180121;201801;2018;2018.0575;CRM;CRIMINAL;;;;;;CRM;;;;;;;;;;;;;1;80;80;8;2;5;10;1;10;-1.413427562;4;Burnaby, British Columbia, Canada;CA;CA02;12552;49.25;-122.95;-561859;0;;;;;;;;4;Burnaby, British Columbia, Canada;CA;CA02;12552;49.25;-122.95;-561859;2.02E+13;https://www.burnabynow.com/news/burnaby-based-union-wants-inquiry-into-money-laundering-drugs-1.23606873
817930298;20180121;201801;2018;2018.0575;CRM;CRIMINAL;;;;;;CRM;;;;;;;;;;;;;1;80;80;8;2;5;10;1;10;-1.333333333;4;Chilliwack, British Columbia, Canada;CA;CA02;12550;49.1667;-121.95;-562560;0;;;;;;;;4;Chilliwack, British Columbia, Canada;CA;CA02;12550;49.1667;-121.95;-562560;2.02E+13;https://www.theprogress.com/news/b-c-s-largest-public-sector-union-wants-inquiry-into-money-laundering-drugs/
817930299;20180121;201801;2018;2018.0575;CRM;CRIMINAL;;;;;;CRM;;;;;;;;;;;;;1;80;80;8;2;5;10;1;10;-1.328903654;4;Mission City, British Columbia, Canada;CA;CA02;12550;49.1333;-122.3;-569414;0;;;;;;;;4;Mission City, British Columbia, Canada;CA;CA02;12550;49.1333;-122.3;-569414;2.02E+13;https://www.missioncityrecord.com/news/b-c-s-largest-public-sector-union-wants-inquiry-into-money-laundering-drugs/
817930300;20180121;201801;2018;2018.0575;EDU;SCHOOL;;;;;;EDU;;;JUD;ATTORNEY;;;;;;JUD;;;0;30;30;3;1;4;2;1;2;-14.98944405;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;2.02E+13;https://www.penbaypilot.com/article/knox-county-criminal-docket-closed-cases/112939
817930301;20180121;201801;2018;2018.0575;EDU;SCHOOL;;;;;;EDU;;;JUD;ATTORNEY;;;;;;JUD;;;0;30;30;3;1;4;2;1;2;-14.98944405;3;Knox County, Maine, United States;US;USME;ME013;43.8501;-69.3328;581292;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;3;Knox County, Maine, United States;US;USME;;43.8501;-69.3328;581292;2.02E+13;https://www.penbaypilot.com/article/knox-county-criminal-docket-closed-cases/112939
817930302;20180121;201801;2018;2018.0575;EDU;SCHOOL;;;;;;EDU;;;JUD;ATTORNEY;;;;;;JUD;;;0;30;30;3;1;4;6;1;6;-14.98944405;3;Knox County, Maine, United States;US;USME;ME013;43.8501;-69.3328;581292;3;Knox County, Maine, United States;US;USME;;43.8501;-69.3328;581292;3;Knox County, Maine, United States;US;USME;;43.8501;-69.3328;581292;2.02E+13;https://www.penbaypilot.com/article/knox-county-criminal-docket-closed-cases/112939
817930303;20180121;201801;2018;2018.0575;EDU;SCHOOL;;;;;;EDU;;;JUD;ATTORNEY;;;;;;JUD;;;0;110;110;11;3;-2;2;1;2;-14.98944405;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;3;Knox County, Maine, United States;US;USME;;43.8501;-69.3328;581292;2.02E+13;https://www.penbaypilot.com/article/knox-county-criminal-docket-closed-cases/112939
817930304;20180121;201801;2018;2018.0575;EDU;SCHOOL;;;;;;EDU;;;JUD;ATTORNEY;;;;;;JUD;;;0;110;110;11;3;-2;2;1;2;-14.98944405;3;Knox County, Maine, United States;US;USME;ME013;43.8501;-69.3328;581292;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;3;Knox County, Maine, United States;US;USME;;43.8501;-69.3328;581292;2.02E+13;https://www.penbaypilot.com/article/knox-county-criminal-docket-closed-cases/112939
817930305;20180121;201801;2018;2018.0575;EDU;SCHOOL;;;;;;EDU;;;JUD;ATTORNEY;;;;;;JUD;;;0;110;110;11;3;-2;6;1;6;-14.98944405;3;Knox County, Maine, United States;US;USME;ME013;43.8501;-69.3328;581292;3;Knox County, Maine, United States;US;USME;;43.8501;-69.3328;581292;3;Knox County, Maine, United States;US;USME;;43.8501;-69.3328;581292;2.02E+13;https://www.penbaypilot.com/article/knox-county-criminal-docket-closed-cases/112939
817930306;20180121;201801;2018;2018.0575;EDU;SCHOOL;;;;;;EDU;;;JUD;ATTORNEY;;;;;;JUD;;;0;173;173;17;4;-5;2;1;2;-14.98944405;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;2.02E+13;https://www.penbaypilot.com/article/knox-county-criminal-docket-closed-cases/112939
817930307;20180121;201801;2018;2018.0575;EDU;SCHOOL;;;;;;EDU;;;JUD;ATTORNEY;;;;;;JUD;;;0;173;173;17;4;-5;2;1;2;-14.98944405;3;Knox County, Maine, United States;US;USME;ME013;43.8501;-69.3328;581292;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;3;Knox County, Maine, United States;US;USME;;43.8501;-69.3328;581292;2.02E+13;https://www.penbaypilot.com/article/knox-county-criminal-docket-closed-cases/112939
817930308;20180121;201801;2018;2018.0575;EDU;SCHOOL;;;;;;EDU;;;JUD;ATTORNEY;;;;;;JUD;;;0;173;173;17;4;-5;6;1;6;-14.98944405;3;Knox County, Maine, United States;US;USME;ME013;43.8501;-69.3328;581292;3;Knox County, Maine, United States;US;USME;;43.8501;-69.3328;581292;3;Knox County, Maine, United States;US;USME;;43.8501;-69.3328;581292;2.02E+13;https://www.penbaypilot.com/article/knox-county-criminal-docket-closed-cases/112939
817930309;20180121;201801;2018;2018.0575;GBR;UNITED KINGDOM;GBR;;;;;;;;;;;;;;;;;;1;20;20;2;1;3;6;1;6;2.321083172;3;Newdale, Idaho, United States;US;USID;ID043;43.8832;-111.606;396954;0;;;;;;;;3;Newdale, Idaho, United States;US;USID;ID043;43.8832;-111.606;396954;2.02E+13;https://www.capitalpress.com/ag_sectors/grains/malting-barley-association-names-recommended-varieties/article_536276da-19e0-11e9-9176-03f3c3f13160.html
817930310;20180121;201801;2018;2018.0575;GBR;UNITED KINGDOM;GBR;;;;;;;;;;;;;;;;;;1;20;20;2;1;3;4;1;4;2.321083172;2;Idaho, United States;US;USID;;44.2394;-114.51;ID;0;;;;;;;;2;Idaho, United States;US;USID;;44.2394;-114.51;ID;2.02E+13;https://www.capitalpress.com/ag_sectors/grains/malting-barley-association-names-recommended-varieties/article_536276da-19e0-11e9-9176-03f3c3f13160.html
817930311;20180121;201801;2018;2018.0575;GOV;GOVERNMENT;;;;;;GOV;;;;;;;;;;;;;1;51;51;5;1;3.4;10;1;10;0.731261426;4;Chiasso, Switzerland (general), Switzerland;SZ;SZ00;26305;45.8349;9.02054;-2551615;0;;;;;;;;4;Chiasso, Switzerland (general), Switzerland;SZ;SZ00;26305;45.8349;9.02054;-2551615;2.02E+13;https://cfxmagazine.com/en/crypto-en/switzerland-wants-to-insert-the-crypto-in-the-existing-financial-laws/
817930312;20180121;201801;2018;2018.0575;JUD;ATTORNEY;;;;;;JUD;;;EDU;SCHOOL;;;;;;EDU;;;0;30;30;3;1;4;2;1;2;-14.98944405;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;2.02E+13;https://www.penbaypilot.com/article/knox-county-criminal-docket-closed-cases/112939
817930313;20180121;201801;2018;2018.0575;JUD;ATTORNEY;;;;;;JUD;;;EDU;SCHOOL;;;;;;EDU;;;0;30;30;3;1;4;2;1;2;-14.98944405;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;3;Knox County, Maine, United States;US;USME;;43.8501;-69.3328;581292;3;Knox County, Maine, United States;US;USME;;43.8501;-69.3328;581292;2.02E+13;https://www.penbaypilot.com/article/knox-county-criminal-docket-closed-cases/112939
817930314;20180121;201801;2018;2018.0575;JUD;ATTORNEY;;;;;;JUD;;;EDU;SCHOOL;;;;;;EDU;;;0;30;30;3;1;4;6;1;6;-14.98944405;3;Knox County, Maine, United States;US;USME;ME013;43.8501;-69.3328;581292;3;Knox County, Maine, United States;US;USME;;43.8501;-69.3328;581292;3;Knox County, Maine, United States;US;USME;;43.8501;-69.3328;581292;2.02E+13;https://www.penbaypilot.com/article/knox-county-criminal-docket-closed-cases/112939
817930315;20180121;201801;2018;2018.0575;USA;SAN DIEGO;USA;;;;;;;;USACVL;UNITED STATES;USA;;;;;CVL;;;1;173;173;17;4;-5;2;1;2;-5.921052632;2;California, United States;US;USCA;;36.17;-119.746;CA;3;San Diego County, California, United States;US;USCA;;33.0334;-116.801;277301;2;California, United States;US;USCA;;36.17;-119.746;CA;2.02E+13;http://www.760kfmb.com/story/39825524/democrat-campa-najjar-wants-re-match-in-2020-against-rep-duncan-hunter
817930316;20181222;201812;2018;2018.9644;ARE;DUBAI;ARE;;;;;;;;BUS;BANK;;;;;;BUS;;;1;42;42;4;1;1.9;10;1;10;-1.517450683;1;China;CH;CH;;35;105;CH;1;China;CH;CH;;35;105;CH;1;China;CH;CH;;35;105;CH;2.02E+13;https://www.khaleejtimes.com/editorials-columns/get-smart-dont-be-dumb-about-tech
817930317;20181222;201812;2018;2018.9644;BUS;BANK;;;;;;BUS;;;ARE;DUBAI;ARE;;;;;;;;1;43;43;4;1;2.8;10;1;10;-1.517450683;4;Dubai, Dubayy, United Arab Emirates;AE;AE03;28575;25.2522;55.28;-782831;4;Dubai, Dubayy, United Arab Emirates;AE;AE03;28575;25.2522;55.28;-782831;4;Dubai, Dubayy, United Arab Emirates;AE;AE03;28575;25.2522;55.28;-782831;2.02E+13;https://www.khaleejtimes.com/editorials-columns/get-smart-dont-be-dumb-about-tech
817930318;20181222;201812;2018;2018.9644;ISR;ISRAELI;ISR;;;;;;;;USA;AMERICAN;USA;;;;;;;;1;61;61;6;2;6.4;2;1;2;-1.648351648;4;Jerusalem, Israel (general), Israel;IS;IS00;18315;31.7667;35.2333;-797092;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;4;Jerusalem, Israel (general), Israel;IS;IS00;18315;31.7667;35.2333;-797092;2.02E+13;https://www.jns.org/pa-releases-palestinian-american-sentenced-to-life-for-selling-land-to-jews/
817930319;20181222;201812;2018;2018.9644;MEXLEG;MEXICO;MEX;;;;;LEG;;;;;;;;;;;;;1;120;120;12;3;-4;2;1;2;-4.952581665;1;Mexico;MX;MX;;23;-102;MX;0;;;;;;;;1;Mexico;MX;MX;;23;-102;MX;2.02E+13;https://www.wonkette.com/kirstjen-nielsen-lied-to-congress-about-family-separation-lock-her-up
817930320;20181222;201812;2018;2018.9644;MEXLEG;MEXICO;MEX;;;;;LEG;;;MEX;MEXICO;MEX;;;;;;;;1;20;20;2;1;3;2;1;2;-4.952581665;1;Mexico;MX;MX;;23;-102;MX;1;Mexico;MX;MX;;23;-102;MX;1;Mexico;MX;MX;;23;-102;MX;2.02E+13;https://www.wonkette.com/kirstjen-nielsen-lied-to-congress-about-family-separation-lock-her-up
817930321;20181222;201812;2018;2018.9644;PSE;PALESTINIAN;PSE;;;;;;;;USA;UNITED STATES;USA;;;;;;;;1;173;173;17;4;-5;1;1;1;-1.648351648;4;Jerusalem, Israel (general), Israel;IS;IS00;18315;31.7667;35.2333;-797092;4;Jerusalem, Israel (general), Israel;IS;IS00;18315;31.7667;35.2333;-797092;4;Jerusalem, Israel (general), Israel;IS;IS00;18315;31.7667;35.2333;-797092;2.02E+13;https://www.jns.org/pa-releases-palestinian-american-sentenced-to-life-for-selling-land-to-jews/
817930322;20181222;201812;2018;2018.9644;PSE;PALESTINIAN;PSE;;;;;;;;USA;UNITED STATES;USA;;;;;;;;1;173;173;17;4;-5;1;1;1;-1.648351648;4;Jerusalem, Israel (general), Israel;IS;IS00;18315;31.7667;35.2333;-797092;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;4;Jerusalem, Israel (general), Israel;IS;IS00;18315;31.7667;35.2333;-797092;2.02E+13;https://www.jns.org/pa-releases-palestinian-american-sentenced-to-life-for-selling-land-to-jews/
817930323;20181222;201812;2018;2018.9644;SYR;SYRIA;SYR;;;;;;;;USA;UNITED STATES;USA;;;;;;;;0;190;190;19;4;-10;6;1;6;-6.498951782;4;Damascus, Dimashq, Syria;SY;SY13;26324;33.5;36.3;-2541260;3;White House, District of Columbia, United States;US;USDC;;38.8951;-77.0364;531871;4;Damascus, Dimashq, Syria;SY;SY13;26324;33.5;36.3;-2541260;2.02E+13;https://ktvq.com/cnn-world/2019/01/21/isis-fast-facts/
817930324;20181222;201812;2018;2018.9644;SYR;SYRIA;SYR;;;;;;;;USA;UNITED STATES;USA;;;;;;;;0;190;190;19;4;-10;2;1;2;-6.498951782;1;Kuwait;KU;KU;;29.5;47.75;KU;1;Kuwait;KU;KU;;29.5;47.75;KU;1;Kuwait;KU;KU;;29.5;47.75;KU;2.02E+13;https://ktvq.com/cnn-world/2019/01/21/isis-fast-facts/
817930325;20181222;201812;2018;2018.9644;SYR;SYRIA;SYR;;;;;;;;USAMIL;AMERICAN TROOPS;USA;;;;;MIL;;;0;190;190;19;4;-10;2;1;2;-6.498951782;4;Damascus, Dimashq, Syria;SY;SY13;26324;33.5;36.3;-2541260;3;White House, District of Columbia, United States;US;USDC;;38.8951;-77.0364;531871;4;Damascus, Dimashq, Syria;SY;SY13;26324;33.5;36.3;-2541260;2.02E+13;https://ktvq.com/cnn-world/2019/01/21/isis-fast-facts/
817930326;20181222;201812;2018;2018.9644;USA;AMERICAN;USA;;;;;;;;ISR;ISRAELI;ISR;;;;;;;;1;61;61;6;2;6.4;2;1;2;-1.648351648;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;4;Jerusalem, Israel (general), Israel;IS;IS00;18315;31.7667;35.2333;-797092;4;Jerusalem, Israel (general), Israel;IS;IS00;18315;31.7667;35.2333;-797092;2.02E+13;https://www.jns.org/pa-releases-palestinian-american-sentenced-to-life-for-selling-land-to-jews/
817930327;20181222;201812;2018;2018.9644;USA;UNITED STATES;USA;;;;;;;;SYR;SYRIA;SYR;;;;;;;;0;190;190;19;4;-10;6;1;6;-6.498951782;3;White House, District of Columbia, United States;US;USDC;;38.8951;-77.0364;531871;4;Damascus, Dimashq, Syria;SY;SY13;26324;33.5;36.3;-2541260;4;Damascus, Dimashq, Syria;SY;SY13;26324;33.5;36.3;-2541260;2.02E+13;https://ktvq.com/cnn-world/2019/01/21/isis-fast-facts/
817930328;20181222;201812;2018;2018.9644;USA;UNITED STATES;USA;;;;;;;;SYR;SYRIA;SYR;;;;;;;;0;190;190;19;4;-10;2;1;2;-6.498951782;1;Kuwait;KU;KU;;29.5;47.75;KU;1;Kuwait;KU;KU;;29.5;47.75;KU;1;Kuwait;KU;KU;;29.5;47.75;KU;2.02E+13;https://ktvq.com/cnn-world/2019/01/21/isis-fast-facts/
817930329;20181222;201812;2018;2018.9644;USAMIL;AMERICAN TROOPS;USA;;;;;MIL;;;SYR;SYRIA;SYR;;;;;;;;0;190;190;19;4;-10;2;1;2;-6.498951782;3;White House, District of Columbia, United States;US;USDC;;38.8951;-77.0364;531871;4;Damascus, Dimashq, Syria;SY;SY13;26324;33.5;36.3;-2541260;4;Damascus, Dimashq, Syria;SY;SY13;26324;33.5;36.3;-2541260;2.02E+13;https://ktvq.com/cnn-world/2019/01/21/isis-fast-facts/
817930330;20190114;201901;2019;2019.0384;;;;;;;;;;;AGR;FARMER;;;;;;AGR;;;1;114;114;11;3;-2;2;1;2;0.552486188;0;;;;;;;;4;Quebec, Quebec, Canada;CA;CA10;12750;47.5;-72;-571850;4;Quebec, Quebec, Canada;CA;CA10;12750;47.5;-72;-571850;2.02E+13;https://www.680news.com/2019/01/21/manitobas-pallister-blasts-quebec-over-list-of-demands-to-federal-parties/
817930331;20190114;201901;2019;2019.0384;CAN;CANADA;CAN;;;;;;;;GOV;PRIME MINISTER;;;;;;GOV;;;1;100;100;10;3;-5;2;1;2;0.552486188;4;Quebec, Quebec, Canada;CA;CA10;12750;47.5;-72;-571850;4;Quebec, Quebec, Canada;CA;CA10;12750;47.5;-72;-571850;4;Quebec, Quebec, Canada;CA;CA10;12750;47.5;-72;-571850;2.02E+13;https://www.680news.com/2019/01/21/manitobas-pallister-blasts-quebec-over-list-of-demands-to-federal-parties/
817930332;20190114;201901;2019;2019.0384;COL;BOGOTA;COL;;;;;;;;COP;POLICE;;;;;;COP;;;1;183;183;18;4;-10;10;1;10;-2.666666667;4;Bogota, Cundinamarca, Colombia;CO;CO33;18585;4.6;-74.0833;-578472;4;Bogota, Cundinamarca, Colombia;CO;CO33;18585;4.6;-74.0833;-578472;4;Bogota, Cundinamarca, Colombia;CO;CO33;18585;4.6;-74.0833;-578472;2.02E+13;http://www.china.org.cn/world/Off_the_Wire/2019-01/22/content_74395961.htm
817930333;20190114;201901;2019;2019.0384;COL;BOGOTA;COL;;;;;;;;COP;POLICE;;;;;;COP;;;1;1832;183;18;4;-10;10;1;10;-2.666666667;4;Bogota, Cundinamarca, Colombia;CO;CO33;18585;4.6;-74.0833;-578472;4;Bogota, Cundinamarca, Colombia;CO;CO33;18585;4.6;-74.0833;-578472;4;Bogota, Cundinamarca, Colombia;CO;CO33;18585;4.6;-74.0833;-578472;2.02E+13;http://www.china.org.cn/world/Off_the_Wire/2019-01/22/content_74395961.htm
817930334;20190114;201901;2019;2019.0384;COL;COLOMBIAN;COL;;;;;;;;REB;REBEL;;;;;;REB;;;1;15;15;1;1;0;2;1;2;-4.217926186;4;Havana, Ciudad de La Habana, Cuba;CU;CU02;14613;23.1319;-82.3642;-1628751;4;Havana, Ciudad de La Habana, Cuba;CU;CU02;14613;23.1319;-82.3642;-1628751;4;Havana, Ciudad de La Habana, Cuba;CU;CU02;14613;23.1319;-82.3642;-1628751;2.02E+13;https://www.cbc.ca/news/world/colombia-eln-rebels-car-bomb-responsibility-1.4986955
817930335;20190114;201901;2019;2019.0384;COL;COLOMBIAN;COL;;;;;;;;REB;REBEL;;;;;;REB;;;1;15;15;1;1;0;8;1;8;-4.217926186;4;Bogota, Cundinamarca, Colombia;CO;CO33;18585;4.6;-74.0833;-578472;4;Bogota, Cundinamarca, Colombia;CO;CO33;18585;4.6;-74.0833;-578472;4;Bogota, Cundinamarca, Colombia;CO;CO33;18585;4.6;-74.0833;-578472;2.02E+13;https://www.cbc.ca/news/world/colombia-eln-rebels-car-bomb-responsibility-1.4986955
817930336;20190114;201901;2019;2019.0384;GOV;PRESIDENT;;;;;;GOV;;;USA;AMERICAN;USA;;;;;;;;1;71;71;7;2;7.4;10;1;10;-4.790419162;1;Afghanistan;AF;AF;;33;66;AF;3;White House, District of Columbia, United States;US;USDC;;38.8951;-77.0364;531871;3;White House, District of Columbia, United States;US;USDC;;38.8951;-77.0364;531871;2.02E+13;https://www.vaildaily.com/news/carnes-sorry-state-of-the-union-column/
817930337;20190114;201901;2019;2019.0384;REF;ASYLUM SEEKER;;;;;;REF;;;CVL;IMMIGRANT;;;;;;CVL;;;1;114;114;11;3;-2;2;1;2;0.552486188;4;Quebec, Quebec, Canada;CA;CA10;12750;47.5;-72;-571850;4;Quebec, Quebec, Canada;CA;CA10;12750;47.5;-72;-571850;4;Quebec, Quebec, Canada;CA;CA10;12750;47.5;-72;-571850;2.02E+13;https://www.680news.com/2019/01/21/manitobas-pallister-blasts-quebec-over-list-of-demands-to-federal-parties/
817930338;20190114;201901;2019;2019.0384;SEP;LIBERATION ARMY;;;;;;SEP;;;COL;BOGOTA;COL;;;;;;;;1;15;15;1;1;0;10;1;10;-2.666666667;4;Bogota, Cundinamarca, Colombia;CO;CO33;18585;4.6;-74.0833;-578472;4;Bogota, Cundinamarca, Colombia;CO;CO33;18585;4.6;-74.0833;-578472;4;Bogota, Cundinamarca, Colombia;CO;CO33;18585;4.6;-74.0833;-578472;2.02E+13;http://www.china.org.cn/world/Off_the_Wire/2019-01/22/content_74395961.htm
817930339;20190114;201901;2019;2019.0384;USA;INDIANAPOLIS;USA;;;;;;;;CRM;THIEF;;;;;;CRM;;;1;180;180;18;4;-9;10;1;10;-8.355091384;0;;;;;;;;0;;;;;;;;0;;;;;;;;2.02E+13;https://cbs4indy.com/2019/01/21/police-believe-serial-robber-targeted-hispanic-customers-at-east-side-check-cashing-business/
817930340;20190120;201901;2019;2019.0548;;;;;;;;;;;CAN;CANADA;CAN;;;;;;;;0;130;130;13;3;-4.4;10;1;10;-2.25;0;;;;;;;;5;Northwest Territories, Northwest Territories, Canada;CA;CA13;25042;65;-118;-570392;5;Northwest Territories, Northwest Territories, Canada;CA;CA13;25042;65;-118;-570392;2.02E+13;https://www.narcity.com/ca/on/toronto/news/this-is-when-torontos-extreme-cold-weather-warning-is-finally-expected-to-end
817930341;20190120;201901;2019;2019.0548;AUS;AUSTRALIA;AUS;;;;;;;;AUSGOV;AUSTRALIA;AUS;;;;;GOV;;;1;10;10;1;1;0;2;1;2;-0.12345679;5;Waikato, Waikato, New Zealand;NZ;NZG1;22389;-38;175.5;11483309;5;Waikato, Waikato, New Zealand;NZ;NZG1;22389;-38;175.5;11483309;5;Waikato, Waikato, New Zealand;NZ;NZG1;22389;-38;175.5;11483309;2.02E+13;https://www.radionz.co.nz/news/political/380613/government-disappointed-by-housing-affordability-figures
817930342;20190120;201901;2019;2019.0548;AUS;AUSTRALIA;AUS;;;;;;;;GOV;MINIST;;;;;;GOV;;;1;10;10;1;1;0;1;1;1;-0.12345679;5;Waikato, Waikato, New Zealand;NZ;NZG1;22389;-38;175.5;11483309;5;Waikato, Waikato, New Zealand;NZ;NZG1;22389;-38;175.5;11483309;5;Waikato, Waikato, New Zealand;NZ;NZG1;22389;-38;175.5;11483309;2.02E+13;https://www.radionz.co.nz/news/political/380613/government-disappointed-by-housing-affordability-figures
817930343;20190120;201901;2019;2019.0548;AUS;AUSTRALIA;AUS;;;;;;;;GOV;GOVERNMENT;;;;;;GOV;;;1;20;20;2;1;3;3;1;3;-0.12345679;4;Melbourne, Victoria, Australia;AS;AS07;5430;-37.8167;144.967;-1586844;4;Melbourne, Victoria, Australia;AS;AS07;5430;-37.8167;144.967;-1586844;5;Waikato, Waikato, New Zealand;NZ;NZG1;22389;-38;175.5;11483309;2.02E+13;https://www.radionz.co.nz/news/political/380613/government-disappointed-by-housing-affordability-figures
